Date,Site.ID,Daily.Mean.PM2.5.Concentration
12/11/2021,360050080,9.3
12/12/2021,360050080,5.7
12/13/2021,360050080,7
12/14/2021,360050080,8
12/15/2021,360050080,6.8
12/16/2021,360050080,10
12/17/2021,360050080,8
12/18/2021,360050080,6.3
12/19/2021,360050080,6
12/20/2021,360050080,6.8
12/21/2021,360050080,9.6
12/22/2021,360050080,8.4
12/23/2021,360050080,6.4
12/24/2021,360050080,8.8
12/25/2021,360050080,14.7
12/26/2021,360050080,6.8
12/27/2021,360050080,6.2
12/28/2021,360050080,10
12/29/2021,360050080,10.7
12/30/2021,360050080,12
12/31/2021,360050080,11.2
1/1/2021,360050110,6.8
1/4/2021,360050110,6.1
1/10/2021,360050110,4.9
1/13/2021,360050110,21.1
1/16/2021,360050110,3.7
1/19/2021,360050110,7.2
1/22/2021,360050110,6.5
1/25/2021,360050110,4.5
1/28/2021,360050110,3.5
1/31/2021,360050110,6
2/3/2021,360050110,2.6
2/6/2021,360050110,5.8
2/9/2021,360050110,13
2/12/2021,360050110,5.5
2/15/2021,360050110,10.4
2/18/2021,360050110,4.8
2/21/2021,360050110,8.5
2/24/2021,360050110,8.4
2/27/2021,360050110,5.5
3/2/2021,360050110,2.8
3/8/2021,360050110,2.4
3/11/2021,360050110,22.3
3/14/2021,360050110,4
3/17/2021,360050110,7.4
3/20/2021,360050110,6.4
3/23/2021,360050110,6
3/26/2021,360050110,6.2
3/29/2021,360050110,2.9
4/1/2021,360050110,3.2
4/4/2021,360050110,7.6
4/7/2021,360050110,5.1
4/10/2021,360050110,6.8
4/13/2021,360050110,3.2
4/16/2021,360050110,2.2
4/19/2021,360050110,8.5
4/22/2021,360050110,2.9
4/25/2021,360050110,8.3
4/28/2021,360050110,12.8
5/1/2021,360050110,2.6
5/10/2021,360050110,4.1
5/13/2021,360050110,2.8
5/16/2021,360050110,8.3
5/19/2021,360050110,9.6
5/22/2021,360050110,13.3
5/25/2021,360050110,7.7
5/28/2021,360050110,4.7
5/31/2021,360050110,4
6/3/2021,360050110,7.9
6/6/2021,360050110,14.2
6/9/2021,360050110,9.4
6/12/2021,360050110,8.6
6/15/2021,360050110,5.9
6/18/2021,360050110,8.5
6/21/2021,360050110,13.5
6/24/2021,360050110,7.7
6/27/2021,360050110,9.9
6/30/2021,360050110,10.9
7/3/2021,360050110,2.3
7/6/2021,360050110,14.7
7/9/2021,360050110,5.2
7/12/2021,360050110,8.3
7/15/2021,360050110,10.5
7/18/2021,360050110,5.2
7/21/2021,360050110,24.9
7/24/2021,360050110,8.9
7/27/2021,360050110,24.5
7/30/2021,360050110,8.1
8/2/2021,360050110,5.9
8/5/2021,360050110,7.1
8/8/2021,360050110,8.6
8/11/2021,360050110,12.6
8/14/2021,360050110,8.6
8/17/2021,360050110,5.6
8/20/2021,360050110,4.3
8/23/2021,360050110,5.5
8/26/2021,360050110,18.2
8/29/2021,360050110,6.8
9/1/2021,360050110,8.6
9/4/2021,360050110,4.4
9/7/2021,360050110,6.1
9/10/2021,360050110,4.4
9/13/2021,360050110,8.8
9/19/2021,360050110,8.2
9/22/2021,360050110,5
9/25/2021,360050110,6.1
9/28/2021,360050110,7.2
10/1/2021,360050110,3.6
10/4/2021,360050110,7.3
10/7/2021,360050110,8.8
10/10/2021,360050110,3.5
10/13/2021,360050110,8.6
10/16/2021,360050110,6.9
10/19/2021,360050110,3.6
10/22/2021,360050110,5.8
10/25/2021,360050110,8.2
10/28/2021,360050110,4.8
10/31/2021,360050110,4.8
11/3/2021,360050110,3.7
11/6/2021,360050110,6.9
11/9/2021,360050110,14
11/12/2021,360050110,6.2
11/15/2021,360050110,3.6
11/18/2021,360050110,13.6
11/21/2021,360050110,4.7
11/24/2021,360050110,3.5
11/27/2021,360050110,1.9
11/30/2021,360050110,8
12/3/2021,360050110,2.8
12/6/2021,360050110,10.4
12/9/2021,360050110,9.3
12/12/2021,360050110,5.2
12/15/2021,360050110,5.6
12/18/2021,360050110,5.9
12/21/2021,360050110,12.8
12/24/2021,360050110,10.3
12/27/2021,360050110,4.4
12/30/2021,360050110,18.2
1/1/2021,360050110,8.9
1/2/2021,360050110,5.9
1/3/2021,360050110,8.4
1/4/2021,360050110,7.6
1/5/2021,360050110,7.9
1/6/2021,360050110,7.3
1/7/2021,360050110,4.2
1/8/2021,360050110,6.3
1/9/2021,360050110,4.5
1/10/2021,360050110,6
1/11/2021,360050110,15.8
1/12/2021,360050110,25.3
1/13/2021,360050110,24.4
1/14/2021,360050110,25.4
1/15/2021,360050110,20.5
1/16/2021,360050110,5.8
1/17/2021,360050110,8.4
1/18/2021,360050110,7.8
1/19/2021,360050110,10.3
1/20/2021,360050110,7.8
1/21/2021,360050110,10.8
1/22/2021,360050110,8.9
1/23/2021,360050110,3.5
1/24/2021,360050110,3.2
1/25/2021,360050110,5.4
1/26/2021,360050110,7.5
1/27/2021,360050110,11.3
1/28/2021,360050110,5.1
1/29/2021,360050110,3
1/30/2021,360050110,4
1/31/2021,360050110,6.8
2/1/2021,360050110,5.5
2/2/2021,360050110,4.7
2/3/2021,360050110,4
2/4/2021,360050110,4.3
2/5/2021,360050110,13.8
2/6/2021,360050110,7.6
2/7/2021,360050110,10.4
2/8/2021,360050110,7.1
2/9/2021,360050110,13.8
2/10/2021,360050110,14.4
2/11/2021,360050110,11.1
2/12/2021,360050110,5.8
2/13/2021,360050110,6.7
2/14/2021,360050110,10.7
2/15/2021,360050110,13.9
2/16/2021,360050110,7.9
2/17/2021,360050110,4.8
2/18/2021,360050110,5.5
2/19/2021,360050110,7.8
2/20/2021,360050110,10.3
2/21/2021,360050110,10.9
2/22/2021,360050110,13.6
2/23/2021,360050110,15.8
2/24/2021,360050110,9.9
2/25/2021,360050110,4.5
2/26/2021,360050110,7
2/27/2021,360050110,6.9
2/28/2021,360050110,11.1
3/1/2021,360050110,6.4
3/2/2021,360050110,3.6
3/3/2021,360050110,11.1
3/4/2021,360050110,9.7
3/5/2021,360050110,3.3
3/6/2021,360050110,3.8
3/7/2021,360050110,4.1
3/8/2021,360050110,6.5
3/9/2021,360050110,11.4
3/10/2021,360050110,10.3
3/11/2021,360050110,27.5
3/12/2021,360050110,8.3
3/13/2021,360050110,4.1
3/14/2021,360050110,5
3/15/2021,360050110,4.1
3/16/2021,360050110,6
3/17/2021,360050110,10.4
3/18/2021,360050110,6.8
3/19/2021,360050110,5
3/20/2021,360050110,7.9
3/21/2021,360050110,10.2
3/22/2021,360050110,14.5
3/23/2021,360050110,8.6
3/24/2021,360050110,9
3/25/2021,360050110,12.9
3/26/2021,360050110,8.5
3/27/2021,360050110,6.6
3/28/2021,360050110,6.9
3/29/2021,360050110,3.5
3/30/2021,360050110,6.9
3/31/2021,360050110,9.9
4/1/2021,360050110,4.8
4/2/2021,360050110,4.1
4/3/2021,360050110,5
4/4/2021,360050110,10.9
4/5/2021,360050110,8
4/6/2021,360050110,7.8
4/7/2021,360050110,6.1
4/8/2021,360050110,7.6
4/9/2021,360050110,7.6
