Date,Site.ID,Daily.Max.8.hour.CO.Concentration
11/27/2021,360050133,0.2
11/28/2021,360050133,0.6
11/29/2021,360050133,0.7
11/30/2021,360050133,0.4
12/1/2021,360050133,0.5
12/2/2021,360050133,0.5
12/3/2021,360050133,0.3
12/4/2021,360050133,0.4
12/5/2021,360050133,0.4
12/6/2021,360050133,0.5
12/7/2021,360050133,0.3
12/8/2021,360050133,0.3
12/9/2021,360050133,0.4
12/10/2021,360050133,0.9
12/11/2021,360050133,0.9
12/12/2021,360050133,0.3
12/13/2021,360050133,0.3
12/14/2021,360050133,0.5
12/15/2021,360050133,0.4
12/16/2021,360050133,0.3
12/17/2021,360050133,0.3
12/18/2021,360050133,0.3
12/19/2021,360050133,0.3
12/20/2021,360050133,0.4
12/21/2021,360050133,0.5
12/22/2021,360050133,0.5
12/23/2021,360050133,0.3
12/24/2021,360050133,0.3
12/25/2021,360050133,0.9
12/26/2021,360050133,0.8
12/27/2021,360050133,0.3
12/28/2021,360050133,0.5
12/29/2021,360050133,0.3
12/30/2021,360050133,0.5
12/31/2021,360050133,0.5
1/1/2022,360050133,0.4
1/2/2022,360050133,0.4
1/3/2022,360050133,0.4
1/4/2022,360050133,0.4
1/5/2022,360050133,0.5
1/6/2022,360050133,0.3
1/7/2022,360050133,0.4
1/8/2022,360050133,0.4
1/9/2022,360050133,0.4
1/10/2022,360050133,0.3
1/11/2022,360050133,0.4
1/12/2022,360050133,0.6
1/13/2022,360050133,1.6
1/14/2022,360050133,0.5
1/15/2022,360050133,0.5
1/16/2022,360050133,0.3
1/17/2022,360050133,0.4
1/18/2022,360050133,0.3
1/19/2022,360050133,0.5
1/20/2022,360050133,0.5
1/21/2022,360050133,0.4
1/22/2022,360050133,0.4
1/23/2022,360050133,0.4
1/24/2022,360050133,0.4
1/25/2022,360050133,0.5
1/26/2022,360050133,0.6
1/27/2022,360050133,0.5
1/28/2022,360050133,0.6
1/29/2022,360050133,0.5
1/30/2022,360050133,0.3
1/31/2022,360050133,0.6
2/1/2022,360050133,0.6
2/2/2022,360050133,0.4
2/3/2022,360050133,0.8
2/4/2022,360050133,0.6
2/5/2022,360050133,0.4
2/6/2022,360050133,0.3
2/7/2022,360050133,0.4
2/8/2022,360050133,0.4
2/9/2022,360050133,0.5
2/10/2022,360050133,0.9
2/11/2022,360050133,0.8
2/12/2022,360050133,0.4
2/13/2022,360050133,0.2
2/14/2022,360050133,0.3
2/15/2022,360050133,0.4
2/16/2022,360050133,0.6
2/17/2022,360050133,0.3
2/18/2022,360050133,0.2
2/19/2022,360050133,0.3
2/20/2022,360050133,0.3
2/21/2022,360050133,0.5
2/22/2022,360050133,0.5
2/23/2022,360050133,0.4
2/24/2022,360050133,0.4
2/25/2022,360050133,0.3
2/26/2022,360050133,0.4
2/27/2022,360050133,0.3
2/28/2022,360050133,0.4
3/1/2022,360050133,0.4
3/2/2022,360050133,0.4
3/3/2022,360050133,0.4
3/4/2022,360050133,0.3
3/5/2022,360050133,0.6
3/6/2022,360050133,0.5
3/7/2022,360050133,0.4
3/8/2022,360050133,0.3
3/9/2022,360050133,0.3
3/10/2022,360050133,0.5
3/11/2022,360050133,1.2
3/12/2022,360050133,0.3
3/13/2022,360050133,0.3
3/14/2022,360050133,0.4
3/15/2022,360050133,0.5
3/16/2022,360050133,0.4
3/17/2022,360050133,0.4
3/18/2022,360050133,0.4
3/19/2022,360050133,0.4
3/20/2022,360050133,0.3
3/21/2022,360050133,0.2
3/22/2022,360050133,0.2
3/23/2022,360050133,0.2
3/24/2022,360050133,0.2
3/25/2022,360050133,0.3
3/26/2022,360050133,0.2
3/27/2022,360050133,0.2
3/28/2022,360050133,0.2
3/29/2022,360050133,0.2
3/30/2022,360050133,0.3
3/31/2022,360050133,0.4
4/1/2022,360050133,0.2
4/2/2022,360050133,0.2
4/3/2022,360050133,0.3
4/4/2022,360050133,0.2
4/5/2022,360050133,0.5
4/6/2022,360050133,0.2
4/7/2022,360050133,0.2
4/8/2022,360050133,0.3
4/9/2022,360050133,0.3
4/10/2022,360050133,0.2
4/11/2022,360050133,0.3
4/12/2022,360050133,0.5
4/13/2022,360050133,1
4/14/2022,360050133,0.4
4/15/2022,360050133,0.2
4/16/2022,360050133,0.3
4/17/2022,360050133,0.2
4/18/2022,360050133,0.2
4/19/2022,360050133,0.2
4/20/2022,360050133,0.3
4/21/2022,360050133,0.4
4/22/2022,360050133,0.4
4/23/2022,360050133,0.2
4/24/2022,360050133,0.3
4/25/2022,360050133,0.2
4/26/2022,360050133,0.5
4/27/2022,360050133,0.5
4/28/2022,360050133,0.3
4/29/2022,360050133,0.2
4/30/2022,360050133,0.3
5/1/2022,360050133,0.4
5/2/2022,360050133,0.2
5/3/2022,360050133,0.2
5/4/2022,360050133,0.4
5/5/2022,360050133,0.3
5/6/2022,360050133,0.3
5/7/2022,360050133,0.2
5/8/2022,360050133,0.2
5/9/2022,360050133,0.1
5/10/2022,360050133,0.1
5/11/2022,360050133,0.2
5/12/2022,360050133,0.2
5/13/2022,360050133,0.3
5/14/2022,360050133,0.4
5/15/2022,360050133,0.3
5/16/2022,360050133,0.5
5/17/2022,360050133,0.2
5/18/2022,360050133,0.2
5/19/2022,360050133,0.3
5/20/2022,360050133,0.3
5/21/2022,360050133,0.5
5/22/2022,360050133,0.5
5/23/2022,360050133,0.2
5/24/2022,360050133,0.1
5/25/2022,360050133,0.1
5/26/2022,360050133,0.2
5/27/2022,360050133,0.2
5/28/2022,360050133,0.3
5/29/2022,360050133,0.3
5/30/2022,360050133,0.4
5/31/2022,360050133,0.4
6/1/2022,360050133,0.2
6/2/2022,360050133,0.3
6/3/2022,360050133,0.3
6/4/2022,360050133,0.3
6/5/2022,360050133,0.3
6/6/2022,360050133,0.3
6/7/2022,360050133,0.2
6/8/2022,360050133,0.2
6/9/2022,360050133,0.2
6/10/2022,360050133,0.2
6/11/2022,360050133,0.3
6/12/2022,360050133,0.3
6/13/2022,360050133,0.2
6/14/2022,360050133,0.2
6/15/2022,360050133,0.3
6/16/2022,360050133,0.2
6/17/2022,360050133,0.2
6/18/2022,360050133,0.2
6/19/2022,360050133,0.1
6/20/2022,360050133,0.2
6/21/2022,360050133,0.3
6/22/2022,360050133,0.3
6/23/2022,360050133,0.2
6/24/2022,360050133,0.4
6/25/2022,360050133,0.5
6/26/2022,360050133,0.6
6/27/2022,360050133,0.4
6/28/2022,360050133,0.4
6/29/2022,360050133,0.5
6/30/2022,360050133,0.3
7/1/2022,360050133,0.3
7/2/2022,360050133,0.2
7/3/2022,360050133,0.2
7/4/2022,360050133,0.3
7/5/2022,360050133,0.4
7/6/2022,360050133,0.2
7/7/2022,360050133,0.2
7/8/2022,360050133,0.3
7/9/2022,360050133,0.3
7/10/2022,360050133,0.3
7/11/2022,360050133,0.2
7/12/2022,360050133,0.2
7/13/2022,360050133,0.2
7/14/2022,360050133,0.2
7/15/2022,360050133,0.2
7/16/2022,360050133,0.2
7/17/2022,360050133,0.3
7/18/2022,360050133,0.4
7/19/2022,360050133,0.2
7/20/2022,360050133,0.3
7/21/2022,360050133,0.3
7/22/2022,360050133,0.5
7/23/2022,360050133,0.5
7/24/2022,360050133,0.4
7/25/2022,360050133,0.3
7/26/2022,360050133,0.3
7/27/2022,360050133,0.4
7/28/2022,360050133,0.3
7/29/2022,360050133,0.3
7/30/2022,360050133,0.3
7/31/2022,360050133,0.2
8/1/2022,360050133,0.3
8/2/2022,360050133,0.4
8/3/2022,360050133,0.3
8/4/2022,360050133,0.3
8/5/2022,360050133,0.3
8/6/2022,360050133,0.2
8/7/2022,360050133,0.2
8/8/2022,360050133,0.2
8/9/2022,360050133,0.2
8/10/2022,360050133,0.2
8/11/2022,360050133,0.2
8/12/2022,360050133,0.2
8/13/2022,360050133,0.2
8/14/2022,360050133,0.2
8/15/2022,360050133,0.3
8/16/2022,360050133,0.2
8/17/2022,360050133,0.2
8/18/2022,360050133,0.3
8/19/2022,360050133,0.4
8/20/2022,360050133,0.3
8/21/2022,360050133,0.2
8/22/2022,360050133,0.2
8/23/2022,360050133,0.3
8/24/2022,360050133,0.2
8/25/2022,360050133,0.2
8/26/2022,360050133,0.4
