Date,Site.ID,Daily.Max.8.hour.Ozone.Concentration
10/24/2021,360050110,0.019
10/25/2021,360050110,0.033
10/26/2021,360050110,0.024
10/27/2021,360050110,0.023
10/28/2021,360050110,0.023
10/29/2021,360050110,0.032
10/30/2021,360050110,0.028
10/31/2021,360050110,0.024
11/1/2021,360050110,0.028
11/2/2021,360050110,0.025
11/3/2021,360050110,0.023
11/4/2021,360050110,0.024
11/5/2021,360050110,0.027
11/6/2021,360050110,0.031
11/7/2021,360050110,0.027
11/8/2021,360050110,0.032
11/9/2021,360050110,0.03
11/10/2021,360050110,0.032
11/11/2021,360050110,0.032
11/12/2021,360050110,0.034
11/13/2021,360050110,0.032
11/14/2021,360050110,0.016
11/15/2021,360050110,0.017
11/16/2021,360050110,0.021
11/17/2021,360050110,0.025
11/18/2021,360050110,0.027
11/19/2021,360050110,0.021
11/20/2021,360050110,0.022
11/21/2021,360050110,0.024
11/22/2021,360050110,0.021
11/23/2021,360050110,0.027
11/24/2021,360050110,0.024
11/25/2021,360050110,0.013
11/26/2021,360050110,0.022
11/27/2021,360050110,0.027
11/28/2021,360050110,0.011
11/29/2021,360050110,0.022
11/30/2021,360050110,0.009
12/1/2021,360050110,0.022
12/2/2021,360050110,0.026
12/3/2021,360050110,0.028
12/4/2021,360050110,0.017
12/5/2021,360050110,0.026
12/6/2021,360050110,0.028
12/7/2021,360050110,0.02
12/8/2021,360050110,0.019
12/9/2021,360050110,0.024
12/10/2021,360050110,0.014
12/11/2021,360050110,0.03
12/12/2021,360050110,0.033
12/13/2021,360050110,0.016
12/14/2021,360050110,0.024
12/15/2021,360050110,0.019
12/16/2021,360050110,0.024
12/17/2021,360050110,0.034
12/18/2021,360050110,0.016
12/19/2021,360050110,0.026
12/21/2021,360050110,0.007
12/22/2021,360050110,0.024
12/23/2021,360050110,0.023
12/24/2021,360050110,0.012
12/25/2021,360050110,0.016
12/26/2021,360050110,0.027
12/27/2021,360050110,0.012
12/28/2021,360050110,0.01
12/29/2021,360050110,0.009
12/30/2021,360050110,0.002
1/1/2021,360050133,0.024
1/2/2021,360050133,0.023
1/3/2021,360050133,0.021
1/4/2021,360050133,0.02
1/5/2021,360050133,0.024
1/6/2021,360050133,0.027
1/7/2021,360050133,0.028
1/8/2021,360050133,0.023
1/9/2021,360050133,0.033
1/10/2021,360050133,0.029
1/11/2021,360050133,0.009
1/12/2021,360050133,0.02
1/13/2021,360050133,0.015
1/14/2021,360050133,0.014
1/15/2021,360050133,0.03
1/16/2021,360050133,0.022
1/17/2021,360050133,0.025
1/18/2021,360050133,0.016
1/19/2021,360050133,0.023
1/20/2021,360050133,0.03
1/21/2021,360050133,0.019
1/22/2021,360050133,0.028
1/23/2021,360050133,0.031
1/24/2021,360050133,0.035
1/25/2021,360050133,0.026
1/26/2021,360050133,0.028
1/27/2021,360050133,0.028
1/28/2021,360050133,0.033
1/29/2021,360050133,0.035
1/30/2021,360050133,0.035
1/31/2021,360050133,0.024
2/1/2021,360050133,0.033
2/2/2021,360050133,0.029
2/3/2021,360050133,0.034
2/4/2021,360050133,0.037
2/5/2021,360050133,0.024
2/6/2021,360050133,0.034
2/7/2021,360050133,0.034
2/8/2021,360050133,0.031
2/9/2021,360050133,0.013
2/10/2021,360050133,0.036
2/11/2021,360050133,0.036
2/12/2021,360050133,0.032
2/13/2021,360050133,0.031
2/14/2021,360050133,0.029
2/15/2021,360050133,0.024
2/16/2021,360050133,0.031
2/17/2021,360050133,0.034
2/18/2021,360050133,0.026
2/19/2021,360050133,0.027
2/20/2021,360050133,0.04
2/21/2021,360050133,0.041
2/22/2021,360050133,0.026
2/23/2021,360050133,0.03
2/24/2021,360050133,0.035
2/25/2021,360050133,0.04
2/26/2021,360050133,0.037
2/27/2021,360050133,0.026
2/28/2021,360050133,0.031
3/1/2021,360050133,0.038
3/2/2021,360050133,0.039
3/3/2021,360050133,0.037
3/4/2021,360050133,0.038
3/5/2021,360050133,0.04
3/6/2021,360050133,0.038
3/7/2021,360050133,0.04
3/8/2021,360050133,0.042
3/9/2021,360050133,0.048
3/10/2021,360050133,0.04
3/11/2021,360050133,0.036
3/12/2021,360050133,0.045
3/13/2021,360050133,0.041
3/14/2021,360050133,0.043
3/15/2021,360050133,0.04
3/16/2021,360050133,0.032
3/17/2021,360050133,0.023
3/18/2021,360050133,0.033
3/19/2021,360050133,0.038
3/20/2021,360050133,0.041
3/21/2021,360050133,0.043
3/22/2021,360050133,0.049
3/23/2021,360050133,0.039
3/24/2021,360050133,0.029
3/25/2021,360050133,0.017
3/26/2021,360050133,0.045
3/27/2021,360050133,0.046
3/28/2021,360050133,0.035
3/29/2021,360050133,0.04
3/30/2021,360050133,0.047
3/31/2021,360050133,0.036
4/1/2021,360050133,0.036
4/2/2021,360050133,0.036
4/3/2021,360050133,0.042
4/4/2021,360050133,0.046
4/5/2021,360050133,0.049
4/6/2021,360050133,0.051
4/7/2021,360050133,0.04
4/8/2021,360050133,0.039
4/9/2021,360050133,0.029
4/10/2021,360050133,0.035
4/11/2021,360050133,0.037
4/12/2021,360050133,0.029
4/13/2021,360050133,0.043
4/14/2021,360050133,0.04
4/15/2021,360050133,0.034
4/16/2021,360050133,0.027
4/17/2021,360050133,0.036
4/18/2021,360050133,0.037
4/19/2021,360050133,0.04
4/20/2021,360050133,0.05
4/21/2021,360050133,0.043
4/22/2021,360050133,0.039
4/23/2021,360050133,0.05
4/24/2021,360050133,0.062
4/25/2021,360050133,0.05
4/26/2021,360050133,0.046
4/27/2021,360050133,0.047
4/28/2021,360050133,0.05
4/29/2021,360050133,0.034
4/30/2021,360050133,0.042
5/1/2021,360050133,0.04
5/2/2021,360050133,0.052
5/3/2021,360050133,0.038
5/4/2021,360050133,0.04
5/5/2021,360050133,0.026
5/6/2021,360050133,0.035
5/7/2021,360050133,0.042
5/8/2021,360050133,0.033
5/9/2021,360050133,0.039
5/10/2021,360050133,0.032
5/11/2021,360050133,0.042
5/12/2021,360050133,0.035
5/13/2021,360050133,0.045
5/14/2021,360050133,0.048
5/15/2021,360050133,0.051
5/16/2021,360050133,0.052
5/17/2021,360050133,0.059
5/18/2021,360050133,0.063
5/19/2021,360050133,0.061
5/20/2021,360050133,0.042
5/21/2021,360050133,0.043
5/22/2021,360050133,0.06
5/23/2021,360050133,0.043
5/24/2021,360050133,0.04
5/25/2021,360050133,0.043
5/26/2021,360050133,0.053
5/27/2021,360050133,0.043
5/28/2021,360050133,0.039
5/29/2021,360050133,0.03
5/30/2021,360050133,0.022
5/31/2021,360050133,0.027
6/1/2021,360050133,0.046
6/2/2021,360050133,0.041
6/3/2021,360050133,0.018
6/4/2021,360050133,0.035
6/5/2021,360050133,0.071
6/6/2021,360050133,0.074
6/7/2021,360050133,0.057
6/8/2021,360050133,0.04
6/9/2021,360050133,0.049
6/10/2021,360050133,0.05
6/11/2021,360050133,0.036
6/12/2021,360050133,0.033
6/13/2021,360050133,0.041
6/14/2021,360050133,0.032
6/15/2021,360050133,0.043
