"","Date","Source","Site.ID","POC","Daily.Max.1.hour.NO2.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1465","03/05/2021","AQS",360810124,1,12.6,"ppb",11,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1466","03/06/2021","AQS",360810124,1,14.5,"ppb",13,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1467","03/07/2021","AQS",360810124,1,12.6,"ppb",11,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1468","03/08/2021","AQS",360810124,1,39,"ppb",37,"QUEENS COLLEGE 2",19,79,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1469","03/09/2021","AQS",360810124,1,42.6,"ppb",40,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1470","03/10/2021","AQS",360810124,1,45.1,"ppb",42,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1471","03/11/2021","AQS",360810124,1,46,"ppb",43,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1472","03/12/2021","AQS",360810124,1,26.1,"ppb",25,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1473","03/13/2021","AQS",360810124,1,25.4,"ppb",24,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1474","03/14/2021","AQS",360810124,1,19.4,"ppb",18,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1475","03/15/2021","AQS",360810124,1,15,"ppb",14,"QUEENS COLLEGE 2",23,96,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1476","03/16/2021","AQS",360810124,1,19.5,"ppb",18,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1477","03/17/2021","AQS",360810124,1,24.7,"ppb",23,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1478","03/18/2021","AQS",360810124,1,36.3,"ppb",34,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1479","03/19/2021","AQS",360810124,1,21.2,"ppb",20,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1480","03/20/2021","AQS",360810124,1,43.1,"ppb",41,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1481","03/21/2021","AQS",360810124,1,52,"ppb",49,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1482","03/22/2021","AQS",360810124,1,38.8,"ppb",36,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1483","03/23/2021","AQS",360810124,1,21.7,"ppb",20,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1484","03/24/2021","AQS",360810124,1,28.6,"ppb",26,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1485","03/25/2021","AQS",360810124,1,32.6,"ppb",30,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1486","03/26/2021","AQS",360810124,1,19.4,"ppb",18,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1487","03/27/2021","AQS",360810124,1,14.2,"ppb",13,"QUEENS COLLEGE 2",18,75,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1488","03/28/2021","AQS",360810124,1,14.4,"ppb",13,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1489","03/29/2021","AQS",360810124,1,29.8,"ppb",27,"QUEENS COLLEGE 2",23,96,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1490","03/30/2021","AQS",360810124,1,43.5,"ppb",41,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
"1491","03/31/2021","AQS",360810124,1,21.4,"ppb",20,"QUEENS COLLEGE 2",24,100,42602,"Nitrogen dioxide (NO2)",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",81,"Queens",40.73614,-73.82153
