"","Date","Source","Site.ID","POC","Daily.Max.8.hour.Ozone.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"601","09/01/2021","AQS",360050133,1,0.036,"ppm",33,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"602","09/02/2021","AQS",360050133,1,0.03,"ppm",28,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"603","09/03/2021","AQS",360050133,1,0.02,"ppm",19,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"604","09/04/2021","AQS",360050133,1,0.033,"ppm",31,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"605","09/05/2021","AQS",360050133,1,0.028,"ppm",26,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"606","09/06/2021","AQS",360050133,1,0.045,"ppm",42,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"607","09/07/2021","AQS",360050133,1,0.047,"ppm",44,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"608","09/08/2021","AQS",360050133,1,0.047,"ppm",44,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"609","09/09/2021","AQS",360050133,1,0.021,"ppm",19,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"610","09/10/2021","AQS",360050133,1,0.031,"ppm",29,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"611","09/11/2021","AQS",360050133,1,0.043,"ppm",40,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"612","09/12/2021","AQS",360050133,1,0.048,"ppm",44,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"613","09/13/2021","AQS",360050133,1,0.044,"ppm",41,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"614","09/14/2021","AQS",360050133,1,0.044,"ppm",41,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"615","09/15/2021","AQS",360050133,1,0.045,"ppm",42,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"616","09/16/2021","AQS",360050133,1,0.046,"ppm",43,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"617","09/17/2021","AQS",360050133,1,0.034,"ppm",31,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"618","09/18/2021","AQS",360050133,1,0.039,"ppm",36,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"619","09/19/2021","AQS",360050133,1,0.031,"ppm",29,"PFIZER LAB SITE",13,76,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"620","09/20/2021","AQS",360050133,1,0.036,"ppm",33,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"621","09/21/2021","AQS",360050133,1,0.035,"ppm",32,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"622","09/22/2021","AQS",360050133,1,0.034,"ppm",31,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"623","09/23/2021","AQS",360050133,1,0.034,"ppm",31,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"624","09/24/2021","AQS",360050133,1,0.041,"ppm",38,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"625","09/25/2021","AQS",360050133,1,0.044,"ppm",41,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"626","09/27/2021","AQS",360050133,1,0.046,"ppm",43,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"627","09/28/2021","AQS",360050133,1,0.025,"ppm",23,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"628","09/29/2021","AQS",360050133,1,0.026,"ppm",24,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"629","09/30/2021","AQS",360050133,1,0.017,"ppm",16,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"630","10/01/2021","AQS",360050133,1,0.023,"ppm",21,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"631","10/02/2021","AQS",360050133,1,0.043,"ppm",40,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"632","10/03/2021","AQS",360050133,1,0.05,"ppm",46,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"633","10/04/2021","AQS",360050133,1,0.032,"ppm",30,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"634","10/05/2021","AQS",360050133,1,0.017,"ppm",16,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"635","10/06/2021","AQS",360050133,1,0.015,"ppm",14,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
"636","10/07/2021","AQS",360050133,1,0.034,"ppm",31,"PFIZER LAB SITE",17,100,44201,"Ozone",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.8679,-73.87809
