"","Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1570","01/05/2022","AQS",360050110,1,7.7,"ug/m3 LC",32,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1571","01/08/2022","AQS",360050110,1,4.8,"ug/m3 LC",20,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1572","01/11/2022","AQS",360050110,1,4.9,"ug/m3 LC",20,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1573","01/14/2022","AQS",360050110,1,10.9,"ug/m3 LC",45,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1574","01/17/2022","AQS",360050110,1,4.5,"ug/m3 LC",19,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1575","01/20/2022","AQS",360050110,1,7.2,"ug/m3 LC",30,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1576","01/23/2022","AQS",360050110,1,12.2,"ug/m3 LC",51,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1577","01/26/2022","AQS",360050110,1,3.8,"ug/m3 LC",16,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1578","02/04/2022","AQS",360050110,1,3.8,"ug/m3 LC",16,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1579","02/07/2022","AQS",360050110,1,10.1,"ug/m3 LC",42,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1580","02/10/2022","AQS",360050110,1,10.4,"ug/m3 LC",43,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1581","02/13/2022","AQS",360050110,1,4.7,"ug/m3 LC",20,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1582","02/16/2022","AQS",360050110,1,9.9,"ug/m3 LC",41,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
"1583","02/19/2022","AQS",360050110,1,4.6,"ug/m3 LC",19,"IS 52",1,100,88101,"PM2.5 - Local Conditions",35620,"New York-Newark-Jersey City, NY-NJ-PA",36,"New York",5,"Bronx",40.816,-73.902
