Date,Site.ID,Daily.Max.1.hour.NO2.Concentration
3/25/2021,360050133,36.3
3/26/2021,360050133,30.2
3/27/2021,360050133,19.5
3/28/2021,360050133,25.1
3/29/2021,360050133,12
3/30/2021,360050133,40.8
3/31/2021,360050133,29.7
4/1/2021,360050133,23.6
4/2/2021,360050133,11.3
4/3/2021,360050133,39.4
4/4/2021,360050133,26.1
4/5/2021,360050133,16.1
4/6/2021,360050133,40
4/7/2021,360050133,31.1
4/8/2021,360050133,38.2
4/9/2021,360050133,22.3
4/10/2021,360050133,29.2
4/11/2021,360050133,20.4
4/12/2021,360050133,16.5
4/13/2021,360050133,22.8
4/14/2021,360050133,37
4/15/2021,360050133,17.5
4/16/2021,360050133,16.9
4/17/2021,360050133,12.4
4/18/2021,360050133,44.1
4/19/2021,360050133,35.8
4/20/2021,360050133,42.4
4/21/2021,360050133,29.8
4/22/2021,360050133,10.4
4/23/2021,360050133,22.2
4/24/2021,360050133,27.8
4/25/2021,360050133,19.4
4/26/2021,360050133,8.2
4/27/2021,360050133,36.9
4/28/2021,360050133,42.5
4/29/2021,360050133,65.2
4/30/2021,360050133,8.4
5/1/2021,360050133,25.6
5/2/2021,360050133,14.9
5/3/2021,360050133,18.2
5/4/2021,360050133,13.2
5/5/2021,360050133,23.5
5/6/2021,360050133,16.8
5/7/2021,360050133,13.8
5/8/2021,360050133,17.3
5/9/2021,360050133,15.7
5/10/2021,360050133,27.3
5/11/2021,360050133,17.6
5/12/2021,360050133,27.4
5/13/2021,360050133,23.2
5/14/2021,360050133,25.8
5/15/2021,360050133,26.5
5/16/2021,360050133,28.6
5/17/2021,360050133,22
5/18/2021,360050133,28.7
5/19/2021,360050133,18.1
5/20/2021,360050133,21.5
5/21/2021,360050133,30
5/22/2021,360050133,31.5
5/23/2021,360050133,8.3
5/24/2021,360050133,7.2
5/25/2021,360050133,23.4
5/26/2021,360050133,21.4
5/27/2021,360050133,13
5/28/2021,360050133,6
5/29/2021,360050133,5
5/30/2021,360050133,8.7
5/31/2021,360050133,22.1
6/1/2021,360050133,29.2
6/2/2021,360050133,33.5
6/3/2021,360050133,29.8
6/4/2021,360050133,46.7
6/5/2021,360050133,25.9
6/6/2021,360050133,26.3
6/7/2021,360050133,35.1
6/8/2021,360050133,31.9
6/9/2021,360050133,27.5
6/10/2021,360050133,8.5
6/11/2021,360050133,11.1
6/12/2021,360050133,15.8
6/13/2021,360050133,22.8
6/14/2021,360050133,15.7
6/15/2021,360050133,19.3
6/16/2021,360050133,8.8
6/17/2021,360050133,23.5
6/18/2021,360050133,32.2
6/19/2021,360050133,14.8
6/20/2021,360050133,26.3
6/21/2021,360050133,23.3
6/22/2021,360050133,15.9
6/23/2021,360050133,30.8
6/24/2021,360050133,30.7
6/25/2021,360050133,16
6/26/2021,360050133,12
6/27/2021,360050133,16.2
6/28/2021,360050133,26.9
6/29/2021,360050133,16.3
6/30/2021,360050133,20.3
7/1/2021,360050133,26.1
7/2/2021,360050133,23.4
7/3/2021,360050133,5
7/4/2021,360050133,23.2
7/5/2021,360050133,16.1
7/6/2021,360050133,27.8
7/7/2021,360050133,26.8
7/8/2021,360050133,17.4
7/9/2021,360050133,22.3
7/10/2021,360050133,17.3
7/11/2021,360050133,12.4
7/12/2021,360050133,26.8
